id,price
1,21350
2,69691
3,42950
4,31470
5,27495
6,23290
7,47995
8,29566
9,14550
10,11995
11,30000
12,26490
13,29995
14,24200
15,17350
16,13990
17,18998
18,31366
19,14990
20,20990
21,29745
22,12000
23,23850
24,20000
25,11390
26,20500
27,14950
28,12000
29,15441
30,35995
31,10500
32,17995
33,39990
34,18120
35,15500
36,13490
37,70990
38,8499
39,21495
40,22498
41,13499
42,17980
43,37990
44,29750
45,32495
46,21111
47,20771
48,21950
49,20680
50,22750
51,45990
52,19450
53,27975
54,17650
55,29995
56,15000
57,44490
58,20995
59,13500
60,27640
61,8199
62,23500
63,29990
64,57490
65,20990
66,19998
67,11949
68,17500
69,21422
70,26490
71,25499
72,14900
73,31995
74,14981
75,21500
76,33990
77,28495
78,21583
79,16490
80,20000
81,11798
82,18995
83,14180
84,24350
85,21995
86,34450
87,18182
88,12444
89,15250
90,38750
91,20000
92,18500
93,137500
94,16725
95,21995
96,14490
97,24500
98,20590
99,15300
100,11000
101,14399
102,47990
103,21650
104,12995
105,33950
106,20700
107,53990
108,13498
109,21998
110,17700
111,37900
112,13999
113,2895
114,17290
115,16970
116,22888
117,11700
118,66990
119,67000
120,16599
121,45595
122,14970
123,125000
124,7900
125,28376
126,15540
127,19990
128,16575
129,12500
130,22990
131,33500
132,37201
133,16998
134,28985
135,21920
136,29490
137,57995
138,32950
139,19990
140,22991
141,7500
142,29809
143,16998
144,15990
145,25449
146,19655
147,15999
148,18900
149,20495
150,10700
151,12995
152,23888
153,12691
154,26990
155,10850
156,37900
157,23900
158,21495
159,17900
160,12595
161,18495
162,10395
163,27990
164,25350
165,20990
166,26500
167,9995
168,40000
169,33950
170,14000
171,15800
172,22476
173,56950
174,19995
175,30500
176,17400
177,14450
178,21350
179,33490
180,7175
181,18395
182,30990
183,15290
184,10295
185,12995
186,17300
187,21900
188,29950
189,19600
190,22150
191,35990
192,17100
193,20498
194,31995
195,37950
196,3995
197,18400
198,19888
199,28990
200,22750
201,16948
202,12499
203,9000
204,20620
205,13290
206,24490
207,11200
208,17595
209,16999
210,18990
211,14490
212,34498
213,12595
214,19895
215,18950
216,17998
217,40991
218,15899
219,27444
220,33330
221,11000
222,20300
223,20998
224,10500
225,32981
